cue_stim_type,cue_orientation,cue_position,cue_time,cue_type,stim_position,expected_response,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,exo_trials.thisRepN,exo_trials.thisTrialN,exo_trials.thisN,exo_trials.thisIndex,intro_text.started,intro_text.stopped,intro_resp.keys,intro_resp.rt,intro_resp.started,intro_resp.stopped,key_resp.keys,key_resp.started,key_resp.stopped,endo_right.started,endo_right.stopped,endo_left.started,endo_left.stopped,fixation_cross.started,fixation_cross.stopped,endo_cue.started,endo_cue.stopped,endo_stimulus.started,endo_stimulus.stopped,key_resp.rt,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,exo_right.started,exo_right.stopped,exo_left.started,exo_left.stopped,fixation.started,fixation.stopped,exo_cue.started,exo_cue.stopped,exo_stimulus.started,exo_stimulus.stopped,outro_text.started,outro_text.stopped,participant,date,expName,psychopyVersion,frameRate,
exo,,"(0.4, 0)",0.2427756313014502,correct,"(0.4, 0)",l,,,,,0,1,1,25,,,,,,,,,,,,,,,,,,,,,None,,440.8100621999474,None,438.986412200029,445.9807391000213,438.986412200029,445.9807391000213,438.986412200029,445.9807391000213,440.70729109994136,440.8100621999474,440.8100621999474,440.9088873999426,,,006,2021_Dec_01_1442,cueing,2021.2.3,None,
exo,,"(-0.4, 0)",0.987689543319433,incorrect,"(0.4, 0)",l,,,,,0,2,2,36,,,,,,,,,,,,,,,,,,,,,None,,450.3827169999713,447.81487599993125,447.81487599993125,454.8149523999309,447.81487599993125,454.8149523999309,447.81487599993125,454.8149523999309,450.2821562999161,450.3827169999713,450.3827169999713,450.4840378999943,,,006,2021_Dec_01_1442,cueing,2021.2.3,None,
exo,,"(0.4, 0)",0.8129667345671767,incorrect,"(-0.4, 0)",a,,,,,0,3,3,16,,,,,,,,,,,,,,,,,,,,,a,2.75984429998789,459.78457349992823,457.3875847000163,457.3875847000163,None,457.3875847000163,None,457.3875847000163,None,459.6828096000245,459.78457349992823,459.78457349992823,459.8816652999958,,,006,2021_Dec_01_1442,cueing,2021.2.3,None,
exo,,"(-0.4, 0)",0.8593638337304581,incorrect,"(0.4, 0)",l,,,,,0,4,4,39,,,,,,,,,,,,,,,,,,,,,None,,465.00542199995834,None,462.5613386000041,469.5611693999963,462.5613386000041,469.5611693999963,462.5613386000041,469.5611693999963,464.90055559994653,465.00542199995834,465.00542199995834,465.1025932999328,,,006,2021_Dec_01_1442,cueing,2021.2.3,None,
exo,,"(-0.4, 0)",0.9427788862349625,incorrect,"(0.4, 0)",l,,,,,0,5,5,37,,,,,,,,,,,,,,,,,,,,,None,,474.5256141999271,472.00517030002084,472.00517030002084,479.0088421999244,472.00517030002084,479.0088421999244,472.00517030002084,479.0088421999244,474.4273589999648,474.5256141999271,474.5256141999271,474.6234124000184,,,006,2021_Dec_01_1442,cueing,2021.2.3,None,
exo,,"(-0.4, 0)",0.27238578623149223,correct,"(-0.4, 0)",a,,,,,0,6,6,9,,,,,,,,,,,,,,,,,,,,,l,1.7603633999824524,483.38654959993437,481.5336309999693,481.5336309999693,None,481.5336309999693,None,481.5336309999693,None,483.2874216999626,483.38654959993437,483.38654959993437,483.4822031999938,,,006,2021_Dec_01_1442,cueing,2021.2.3,None,
exo,,"(-0.4, 0)",0.5921052648072145,incorrect,"(0.4, 0)",l,,,,,0,7,7,34,,,,,,,,,,,,,,,,,,,,,l,0.595579499960877,487.3436666999478,None,485.1679901999887,None,485.1679901999887,None,485.1679901999887,None,487.2408397999825,487.3436666999478,487.3436666999478,487.4454767999705,,,006,2021_Dec_01_1442,cueing,2021.2.3,None,
exo,,"(0.4, 0)",0.6134322306232748,correct,"(0.4, 0)",l,,,,,0,8,8,20,,,,,,,,,,,,,,,,,,,,,None,,490.1577145999763,None,487.9662116999971,494.9660148000112,487.9662116999971,494.9660148000112,487.9662116999971,494.9660148000112,490.0579917000141,490.1577145999763,490.1577145999763,490.2544094999321,,,006,2021_Dec_01_1442,cueing,2021.2.3,None,
exo,,"(0.4, 0)",0.641709836185558,incorrect,"(-0.4, 0)",a,,,,,0,9,9,12,,,,,,,,,,,,,,,,,,,,,None,,499.37297089991625,497.1552315999288,497.1552315999288,504.15976029995363,497.1552315999288,504.15976029995363,497.1552315999288,504.15976029995363,499.27564999996684,499.37297089991625,499.37297089991625,499.4708391999593,,,006,2021_Dec_01_1442,cueing,2021.2.3,None,
exo,,"(0.4, 0)",0.0325124900817807,correct,"(0.4, 0)",l,,,,,0,10,10,26,,,,,,,,,,,,,,,,,,,,,None,,507.9917151000118,506.3792835000204,506.3792835000204,513.3776470000157,506.3792835000204,513.3776470000157,506.3792835000204,513.3776470000157,507.8935465000104,507.9917151000118,507.9917151000118,508.0880200000247,,,006,2021_Dec_01_1442,cueing,2021.2.3,None,
